sub,Effort1_Risk2,run,trial,RT,dur,StrTime,reward,loss,effort_risk,response
19,1,3,18,1.591093,4.491109,88.258977,4,6,3,1
19,1,3,19,1.726329,9.989383,92.760704,4,4,2,1
19,1,3,20,0.904399,5.485698,102.764538,12,2,5,4
19,1,3,21,1.611352,3.983479,108.266689,8,6,5,3
19,1,3,22,1.305865,6.482028,112.268183,8,3,2,4
19,1,3,23,0.706374,4.979466,118.770672,12,1,4,4
19,1,3,24,1.500448,12.477586,123.772591,4,3,2,2
19,1,3,25,1.245383,5.739442,136.260708,4,6,2,1
19,1,3,26,1.578126,3.987247,142.012915,12,1,1,4
19,1,3,27,1.421615,4.235658,146.014447,6,4,2,1
19,1,3,28,0.633928,5.734023,150.266118,10,6,2,4
19,1,3,29,1.7708,5.981905,156.018281,10,4,1,4
19,1,3,30,0.823484,3.979552,162.020583,12,3,4,4
19,1,3,31,1.55985,6.978004,166.022157,6,1,3,4
19,1,3,32,1.223838,3.991912,173.008168,2,1,3,1
19,1,3,33,0.617285,11.99059,177.00966,10,4,1,4
19,1,3,34,0.880792,5.735837,189.014263,12,2,2,4
19,1,3,35,0,3.983553,194.766507,6,1,4,0
19,1,3,36,0.845091,5.232164,198.768001,4,2,5,2
19,1,4,1,1.15923,4.218334,0.031765,10,4,2,4
19,1,4,2,1.498291,3.983418,4.266722,8,1,3,4
19,1,4,3,0.74679,4.231912,8.268213,10,2,3,4
19,1,4,4,1.117126,5.730205,12.519846,6,3,2,1
19,1,4,5,1.28797,7.478191,18.272049,4,1,2,4
19,1,4,6,1.296754,3.991912,25.758249,4,2,4,4
19,1,4,7,1.560166,10.240384,29.759794,8,4,2,4
19,1,4,8,1.227251,4.236499,40.013714,4,5,5,1
19,1,4,9,0,4.734743,44.265346,12,6,5,0
19,1,4,10,1.755803,12.233005,49.017164,8,5,4,2
19,1,4,11,1.456166,4.478237,61.271859,10,5,1,4
19,1,4,12,0.663097,7.743238,65.756915,10,1,4,4
19,1,4,13,1.250088,4.740235,73.509926,2,6,5,1
19,1,4,14,1.738342,5.988448,78.261704,6,6,1,1
19,1,4,15,1.771008,7.736159,84.264005,2,5,2,1
19,1,4,16,0.987038,5.733276,92.016977,12,1,4,4
19,1,4,17,0.835848,3.981027,97.769181,6,6,5,1
19,1,4,18,0.719428,3.979359,101.770716,12,1,2,4
19,1,4,19,1.424774,4.727969,105.772251,10,4,5,4
19,1,4,20,1.667625,4.492736,110.507397,8,4,5,1
19,1,4,21,0.849863,6.49104,115.009122,12,2,4,4
19,1,4,22,0.815363,4.488422,121.511656,2,5,2,1
19,1,4,23,1.315696,6.486898,126.01334,6,2,1,4
19,1,4,24,1.112195,6.234311,132.515832,4,2,1,1
19,1,4,25,1.38775,5.981902,138.768269,2,5,1,1
19,1,4,26,0.605489,6.729715,144.770529,10,4,1,4
19,1,4,27,1.118878,3.976978,151.523158,6,3,5,4
19,1,4,28,1.777045,4.49215,155.507979,8,6,4,3
19,1,4,29,0.985331,5.740445,160.009701,12,1,4,4
19,1,4,30,1.024117,5.238249,165.76191,12,2,4,4
19,1,4,31,0,3.986266,171.013962,6,3,1,0
19,1,4,32,0.925528,3.984579,175.015497,4,6,2,1
19,1,4,33,1.494039,10.733119,179.016987,8,3,5,4
19,1,4,34,0.994882,5.229071,189.771151,2,4,5,1
19,1,4,35,1.090574,4.743696,195.006447,4,3,3,4
19,1,4,36,0.987776,4.24191,199.758311,2,3,4,1
19,1,5,1,0.816783,5.21008,0.040168,12,3,1,4
19,1,5,2,1.058233,4.491338,5.258798,2,1,1,1
19,1,5,3,0.916586,6.989709,9.76052,4,4,1,1
19,1,5,4,0.898755,4.236886,16.763246,6,1,3,4
19,1,5,5,1.215122,7.235281,21.014874,4,6,4,1
19,1,5,6,1.094388,6.982609,28.267612,12,5,1,4
19,1,5,7,1.532705,4.229836,35.270298,8,4,3,1
19,1,5,8,0.834032,6.228268,39.521967,10,4,5,4
19,1,5,9,1.019341,3.992569,45.757649,6,5,2,1
19,1,5,10,1.457832,5.240987,49.759182,6,5,1,4
19,1,5,11,1.544806,5.739021,55.0112,6,1,2,4
19,1,5,12,1.581595,7.736826,60.763401,2,6,4,1
19,1,5,13,1.51959,7.483779,68.516372,2,6,2,1
19,1,5,14,1.037837,3.980881,76.019247,8,3,2,4
19,1,5,15,1.35713,4.979318,80.020822,2,3,1,1
19,1,5,16,1.624302,3.97736,85.0227,2,4,3,1
19,1,5,17,1.807358,7.742589,89.007599,8,4,4,4
19,1,5,18,1.618474,7.739634,96.760529,12,5,5,4
19,1,5,19,0.974461,3.986695,104.513502,6,1,1,4
19,1,5,20,1.344943,4.985087,108.515076,6,2,2,1
19,1,5,21,0,6.733106,113.516994,8,4,5,0
19,1,5,22,0.788422,4.480496,120.269581,10,2,5,4
19,1,5,23,0.960704,3.978815,124.771264,12,2,4,4
19,1,5,24,1.761793,4.993978,128.756169,12,2,5,2
19,1,5,25,1.341963,3.992197,133.758042,12,5,4,4
19,1,5,26,1.660439,3.990483,137.759575,8,6,1,1
19,1,5,27,1.723818,4.488992,141.76115,10,2,4,4
19,1,5,28,1.163136,5.48727,146.262875,4,3,3,1
19,1,5,29,1.037051,3.985145,151.764986,8,2,3,4
19,1,5,30,0.902544,3.983656,155.766476,2,6,3,1
19,1,5,31,0.860001,3.982117,159.768013,10,1,4,4
19,1,5,32,1.255349,4.480615,163.769547,10,3,1,4
19,1,5,33,0.981794,6.728836,168.271269,4,5,1,1
19,1,5,34,1.048773,10.743062,175.007184,4,1,2,1
19,1,5,35,0.807761,13.988936,185.761309,4,6,4,1
19,1,5,36,1.548337,4.233543,199.766676,10,3,5,1
21,1,1,1,0.219338,3.967511,0.03268,8,2,3,1
21,1,1,2,1.223486,5.232626,4.017538,10,4,5,1
21,1,1,3,1.607471,4.730522,9.269556,6,3,1,3
21,1,1,4,1.475611,7.228764,14.021417,4,2,1,3
21,1,1,5,1.350552,4.492648,21.257485,8,3,1,4
21,1,1,6,0.917835,4.740929,25.759212,12,4,2,4
21,1,1,7,1.236005,5.489053,30.511032,2,1,5,1
21,1,1,8,1.574895,4.487049,36.013139,4,6,2,3
21,1,1,9,1.554244,7.235282,40.514868,6,3,1,3
21,1,1,10,0.738274,7.732588,47.767648,12,1,2,4
21,1,1,11,1.11941,3.979516,55.520618,2,5,4,1
21,1,1,12,1.461888,5.72799,59.522151,6,6,4,1
21,1,1,13,0.865435,9.992606,65.257682,4,4,4,1
21,1,1,14,1.343574,4.488584,75.261521,6,1,2,3
21,1,1,15,1.715751,4.736911,79.763285,4,2,3,2
21,1,1,16,1.028936,3.985032,84.515108,4,5,3,2
21,1,1,17,1.79544,8.733558,88.516602,6,6,4,1
21,1,1,18,1.581085,4.230126,97.269956,6,4,4,1
21,1,1,19,0.879414,5.478527,101.521627,10,3,2,4
21,1,1,20,1.726029,4.993123,107.007022,8,3,3,2
21,1,1,21,1.551103,5.491143,112.008939,8,6,3,2
21,1,1,22,1.488946,6.739009,117.51109,8,5,1,4
21,1,1,23,1.368366,6.986548,124.263677,10,4,5,1
21,1,1,24,1.285717,4.733891,131.266322,10,5,5,1
