"","SubID","TrialOrder","cost_one","LargeReward","cost_two","SmallReward","Decision"
"133",301,133,0.5,4,0,0.94,1
"134",301,134,0.3,3,0,2.75,0
"135",301,135,0.5,4,0,0.62,1
"136",301,136,0.7,2,0,0.41,1
"137",301,137,0.7,2,0,0.32,1
"138",301,138,0.1,2,0,1.74,1
"139",301,139,0.3,3,0,2.3,0
"140",301,140,0.3,3,0,1.84,1
"141",301,141,0.7,4,0,0.77,1
"142",301,142,0.5,3,0,0.1,1
"143",301,143,0.7,3,0,1.04,1
"144",301,144,0.3,2,0,1.42,1
"145",301,145,0.3,4,0,1.37,1
"146",301,146,0.3,4,0,0.55,1
"147",301,147,0.5,2,0,1.07,0
"148",301,148,0.1,4,0,1.86,1
"149",301,149,0.3,3,0,0.92,1
"150",301,150,0.7,3,0,0.7,1
"151",301,151,0.3,2,0,1.77,0
"152",301,152,0.3,4,0,0.82,1
"153",301,153,0.1,2,0,2,1
"154",301,154,0.1,4,0,4,0
"155",301,155,0.1,3,0,0.66,1
"156",301,156,0.5,4,0,1.87,1
"157",301,157,0.5,3,0,0.15,1
"158",301,158,0.1,4,0,3.72,0
"159",301,159,0.3,2,0,1.06,1
"160",301,160,0.1,2,0,2,0
"161",301,161,0.5,3,0,0.26,1
"162",301,162,0.1,3,0,1.1,1
"163",301,163,0.5,2,0,1.34,0
"164",301,164,0.5,4,0,1.56,1
"165",301,165,0.1,4,0,4,0
"166",301,166,0.7,3,0,1.39,0
"167",301,167,0.5,4,0,1.25,1
"168",301,168,0.7,4,0,1.16,1
"169",302,1,0.5,4,0,0.65,1
"170",302,2,0.1,4,0,4,1
"171",302,3,0.1,4,0,2.38,1
"172",302,4,0.1,3,0,1.79,1
"173",302,5,0.3,2,0,1.19,1
"174",302,6,0.3,3,0,2.07,0
"175",302,7,0.5,3,0,1.31,0
"176",302,8,0.7,2,0,0.46,0
"177",302,9,0.1,2,0,1.79,1
"178",302,10,0.5,4,0,1.08,0
"179",302,11,0.1,4,0,4,0
"180",302,12,0.7,4,0,0.26,0
"181",302,13,0.7,3,0,0.7,0
"182",302,14,0.5,3,0,0.44,0
"183",302,15,0.7,4,0,0.13,1
"184",302,16,0.5,4,0,0.14,1
"185",302,17,0.3,2,0,1.48,0
"186",302,18,0.7,3,0,0.94,0
"187",302,19,0.5,2,0,0.07,1
"188",302,20,0.5,3,0,0.88,0
"189",302,21,0.1,2,0,2,0
"190",302,22,0.3,3,0,1.66,1
"191",302,23,0.5,2,0,0.14,1
"192",302,24,0.3,4,0,4,0
"193",302,25,0.3,4,0,2.08,1
"194",302,26,0.3,3,0,2.48,0
"195",302,27,0.7,4,0,0.2,1
"196",302,28,0.5,2,0,0.11,1
"197",302,29,0.1,3,0,3,0
"198",302,30,0.7,3,0,0.47,0
"199",302,31,0.1,4,0,3.57,1
"200",302,32,0.5,4,0,0.43,1
"201",302,33,0.3,3,0,1.24,1
"202",302,34,0.5,4,0,0.86,1
"203",302,35,0.7,2,0,0.37,0
"204",302,36,0.3,4,0,0.69,1
"205",302,37,0.5,3,0,0.66,1
"206",302,38,0.1,2,0,2,0
"207",302,39,0.7,2,0,0.28,0
"208",302,40,0.1,4,0,4,0
"209",302,41,0.3,2,0,0.59,1
"210",302,42,0.1,2,0,0.4,1
"211",302,43,0.3,2,0,0.89,1
"212",302,44,0.7,2,0,0.19,0
"213",302,45,0.1,3,0,2.68,1
"214",302,46,0.7,3,0,0.16,1
"215",302,47,0.3,4,0,3.12,0
"216",302,48,0.5,3,0,1.1,0
"217",302,49,0.3,4,0,4,0
"218",302,50,0.5,2,0,0.18,1
"219",302,51,0.7,2,0,0.56,1
"220",302,52,0.1,2,0,1.19,1
"221",302,53,0.1,3,0,3,0
"222",302,54,0.7,3,0,1.17,0
"223",302,55,0.7,4,0,0.33,1
"224",302,56,0.3,3,0,0.83,1
"225",302,57,0.1,4,0,4,0
"226",302,58,0.5,3,0,1.31,0
"227",302,59,0.3,4,0,3.12,0
"228",302,60,0.3,2,0,0.59,1
"229",302,61,0.7,3,0,0.94,0
"230",302,62,0.7,3,0,0.7,0
"231",302,63,0.5,2,0,0.18,1
"232",302,64,0.1,2,0,2,0
"233",302,65,0.7,2,0,0.28,1
"234",302,66,0.7,2,0,0.19,1
"235",302,67,0.3,4,0,4,0
"236",302,68,0.5,4,0,0.43,1
"237",302,69,0.5,2,0,0.07,1
"238",302,70,0.5,4,0,0.86,1
"239",302,71,0.7,2,0,0.37,0
"240",302,72,0.1,2,0,2,0
"241",302,73,0.3,4,0,4,0
"242",302,74,0.1,3,0,3,0
"243",302,75,0.1,3,0,3,0
"244",302,76,0.1,3,0,1.79,1
"245",302,77,0.5,2,0,0.02,1
"246",302,78,0.7,4,0,0.26,0
"247",302,79,0.7,4,0,0.33,1
"248",302,80,0.1,3,0,2.68,0
"249",302,81,0.7,4,0,0.2,1
"250",302,82,0.3,4,0,2.08,0
"251",302,83,0.3,2,0,1.48,1
"252",302,84,0.7,3,0,0.47,0
"253",302,85,0.1,2,0,2,0
"254",302,86,0.3,3,0,2.07,0
"255",302,87,0.5,3,0,0.44,1
"256",302,88,0.7,4,0,0.13,1
"257",302,89,0.5,3,0,0.88,1
"258",302,90,0.3,3,0,0.28,1
"259",302,91,0.5,3,0,1.1,1
"260",302,92,0.3,3,0,1.24,1
"261",302,93,0.5,4,0,1.08,1
"262",302,94,0.5,2,0,0.14,0
"263",302,95,0.3,2,0,1.19,0
"264",302,96,0.7,2,0,0.46,0
"265",302,97,0.3,4,0,4,0
"266",302,98,0.7,3,0,1.17,0
"267",302,99,0.3,3,0,0.83,1
"268",302,100,0.1,4,0,0.79,1
