"","SubID","TrialOrder","cost_one","LargeReward","cost_two","SmallReward","Decision"
"133",301,133,0.8,4,0,0.09,1
"134",301,134,0.65,3,0,3,0
"135",301,135,0.8,4,0,0.06,1
"136",301,136,0.95,2,0,0.03,1
"137",301,137,0.95,2,0,0.02,1
"138",301,138,0.5,2,0,1.79,1
"139",301,139,0.65,3,0,2.78,1
"140",301,140,0.65,3,0,2.22,1
"141",301,141,0.95,4,0,0.02,1
"142",301,142,0.8,3,0,0.04,1
"143",301,143,0.95,3,0,0.03,1
"144",301,144,0.65,2,0,0.82,1
"145",301,145,0.65,4,0,3.62,1
"146",301,146,0.65,4,0,1.45,1
"147",301,147,0.8,2,0,0.07,1
"148",301,148,0.5,4,0,2.38,1
"149",301,149,0.65,3,0,1.11,0
"150",301,150,0.95,3,0,0.02,1
"151",301,151,0.65,2,0,1.02,1
"152",301,152,0.65,4,0,2.17,1
"153",301,153,0.5,2,0,2,0
"154",301,154,0.5,4,0,4,0
"155",301,155,0.5,3,0,1.33,1
"156",301,156,0.8,4,0,0.18,1
"157",301,157,0.8,3,0,0.06,1
"158",301,158,0.5,4,0,4,0
"159",301,159,0.65,2,0,0.61,1
"160",301,160,0.5,2,0,2,0
"161",301,161,0.8,3,0,0.11,1
"162",301,162,0.5,3,0,2.22,1
"163",301,163,0.8,2,0,0.09,1
"164",301,164,0.8,4,0,0.15,1
"165",301,165,0.5,4,0,4,0
"166",301,166,0.95,3,0,0.04,1
"167",301,167,0.8,4,0,0.12,1
"168",301,168,0.95,4,0,0.04,1
"169",302,1,0.8,4,0,3.19,0
"170",302,2,0.5,4,0,4,0
"171",302,3,0.5,4,0,2.38,1
"172",302,4,0.5,3,0,1.79,1
"173",302,5,0.65,2,0,2,0
"174",302,6,0.65,3,0,3,0
"175",302,7,0.8,3,0,3,0
"176",302,8,0.95,2,0,0.03,0
"177",302,9,0.5,2,0,1.79,1
"178",302,10,0.8,4,0,4,0
"179",302,11,0.5,4,0,4,0
"180",302,12,0.95,4,0,0.05,0
"181",302,13,0.95,3,0,0.03,0
"182",302,14,0.8,3,0,1.66,1
"183",302,15,0.95,4,0,0.02,0
"184",302,16,0.8,4,0,0.71,1
"185",302,17,0.65,2,0,2,0
"186",302,18,0.95,3,0,0.04,0
"187",302,19,0.8,2,0,1.17,1
"188",302,20,0.8,3,0,3,0
"189",302,21,0.5,2,0,2,0
"190",302,22,0.65,3,0,3,0
"191",302,23,0.8,2,0,2,0
"192",302,24,0.65,4,0,4,0
"193",302,25,0.65,4,0,2.38,1
"194",302,26,0.65,3,0,3,0
"195",302,27,0.95,4,0,0.04,0
"196",302,28,0.8,2,0,1.76,1
"197",302,29,0.5,3,0,3,0
"198",302,30,0.95,3,0,0.02,0
"199",302,31,0.5,4,0,3.57,1
"200",302,32,0.8,4,0,2.12,1
"201",302,33,0.65,3,0,2.68,1
"202",302,34,0.8,4,0,4,0
"203",302,35,0.95,2,0,0.02,0
"204",302,36,0.65,4,0,0.79,1
"205",302,37,0.8,3,0,2.48,1
"206",302,38,0.5,2,0,2,0
"207",302,39,0.95,2,0,0.02,0
"208",302,40,0.5,4,0,4,0
"209",302,41,0.65,2,0,1.19,1
"210",302,42,0.5,2,0,0.4,0
"211",302,43,0.65,2,0,1.79,1
"212",302,44,0.95,2,0,0.01,0
"213",302,45,0.5,3,0,2.68,1
"214",302,46,0.95,3,0,0.01,0
"215",302,47,0.65,4,0,3.57,1
"216",302,48,0.8,3,0,3,0
"217",302,49,0.65,4,0,4,0
"218",302,50,0.8,2,0,2,0
"219",302,51,0.95,2,0,0.04,0
"220",302,52,0.5,2,0,1.19,1
"221",302,53,0.5,3,0,3,0
"222",302,54,0.95,3,0,0.05,0
"223",302,55,0.95,4,0,0.06,0
"224",302,56,0.65,3,0,1.79,1
"225",302,57,0.5,4,0,4,0
"226",302,58,0.8,3,0,3,0
"227",302,59,0.65,4,0,3.57,1
"228",302,60,0.65,2,0,1.19,1
"229",302,61,0.95,3,0,0.04,1
"230",302,62,0.95,3,0,0.03,0
"231",302,63,0.8,2,0,2,0
"232",302,64,0.5,2,0,2,0
"233",302,65,0.95,2,0,0.02,0
"234",302,66,0.95,2,0,0.01,0
"235",302,67,0.65,4,0,4,0
"236",302,68,0.8,4,0,2.12,1
"237",302,69,0.8,2,0,1.17,1
"238",302,70,0.8,4,0,4,0
"239",302,72,0.5,2,0,2,0
"240",302,73,0.65,4,0,4,0
"241",302,74,0.5,3,0,3,0
"242",302,75,0.5,3,0,3,0
"243",302,76,0.5,3,0,1.79,1
"244",302,77,0.8,2,0,0.39,1
"245",302,78,0.95,4,0,0.05,0
"246",302,79,0.95,4,0,0.06,0
"247",302,81,0.95,4,0,0.04,0
"248",302,82,0.65,4,0,2.38,1
"249",302,83,0.65,2,0,2,0
"250",302,84,0.95,3,0,0.02,0
"251",302,85,0.5,2,0,2,0
"252",302,86,0.65,3,0,3,0
"253",302,87,0.8,3,0,1.66,1
"254",302,88,0.95,4,0,0.02,0
"255",302,90,0.65,3,0,0.6,1
"256",302,91,0.8,3,0,3,0
"257",302,92,0.65,3,0,2.68,1
"258",302,93,0.8,4,0,4,0
"259",302,94,0.8,2,0,2,0
"260",302,95,0.65,2,0,2,0
"261",302,96,0.95,2,0,0.03,1
"262",302,97,0.65,4,0,4,0
"263",302,98,0.95,3,0,0.05,0
"264",302,99,0.65,3,0,1.79,1
"265",302,100,0.5,4,0,0.79,1
"266",302,101,0.65,2,0,1.79,1
"267",302,102,0.5,4,0,2.38,1
"268",302,103,0.5,4,0,3.57,1
"269",302,104,0.8,2,0,1.76,1
"270",302,105,0.5,2,0,1.79,1
"271",302,106,0.95,2,0,0.01,0
"272",302,107,0.8,3,0,2.48,1
"273",302,108,0.8,4,0,3.19,1
"274",302,109,0.95,4,0,0.07,0
"275",302,110,0.5,4,0,4,0
"276",302,111,0.65,3,0,3,0
"277",302,112,0.5,2,0,1.19,1
"278",302,113,0.65,3,0,2.68,1
"279",302,114,0.5,2,0,1.19,1
"280",302,115,0.65,3,0,0.6,1
"281",302,116,0.8,2,0,0.39,1
"282",302,117,0.95,4,0,0.07,0
"283",302,118,0.8,2,0,1.76,0
"284",302,119,0.95,3,0,0.01,1
"285",302,121,0.95,4,0,0.06,0
"286",302,122,0.5,3,0,1.79,1
"287",302,123,0.5,3,0,0.6,1
"288",302,124,0.8,3,0,3,0
"289",302,125,0.65,4,0,4,0
"290",302,126,0.5,4,0,3.57,1
"291",302,127,0.5,3,0,3,1
"292",302,129,0.95,3,0,0.05,0
"293",302,130,0.65,2,0,1.19,1
"294",302,131,0.8,2,0,1.17,1
"295",302,132,0.95,4,0,0.05,0
"296",302,133,0.8,4,0,3.19,1
"297",302,134,0.65,3,0,3,0
"298",302,135,0.8,4,0,2.12,0
"299",302,136,0.95,2,0,0.03,0
"300",302,137,0.95,2,0,0.02,0
"301",302,138,0.5,2,0,1.79,1
"302",302,139,0.65,3,0,3,0
"303",302,140,0.65,3,0,3,0
"304",302,141,0.95,4,0,0.02,0
"305",302,142,0.8,3,0,1.66,1
"306",302,143,0.95,3,0,0.03,0
"307",302,144,0.65,2,0,2,0
"308",302,145,0.65,4,0,4,0
"309",302,146,0.65,4,0,2.38,1
"310",302,147,0.8,2,0,2,0
"311",302,148,0.5,4,0,2.38,1
"312",302,149,0.65,3,0,1.79,1
"313",302,150,0.95,3,0,0.02,0
"314",302,151,0.65,2,0,2,0
"315",302,154,0.5,4,0,4,0
"316",302,155,0.5,3,0,2.68,1
"317",302,156,0.8,4,0,4,0
"318",302,157,0.8,3,0,2.48,0
